,GDPC,GDPCG,VABI,EMP,PAG,QOA,QOR,YUA,GGAG,REST,CO2,EBSG,FDI,GGFC,LBGD,PC,ARP,ROL,GE,COC,RQ,SSB,PT,EUPC
0,30902.2986938089,3.02778238969645,26.46,77.26428571428572,-159.0,6.71,6.55,11.82,-28436.0,10.039,826.5971,6.3897695714769,1.46,17.5553649959484,-0.16886815460503,-1.2,15.2,1.76,1.63,1.73,1.62,78.04470015915,77.19792896543,6.196332770147077
1,31539.1175338643,1.10245965834785,26.06,77.26428571428572,1387.0,6.67,6.54,10.93,2834.0,10.072,829.9111,5.78368755985295,0.81,17.9510982051837,-0.295519137499614,-2.6,15.2,1.73,1.51,1.75,1.49,79.197611230423,76.399685697736,10.012676738521495
2,30461.5351066973,-5.30552819048091,23.87,73.2,-1381.0,6.61,6.49,11.31,-56474.0,10.851,768.1326,4.76818431421276,1.63,19.5979349625431,-2.07072913618746,-2.4,15.5,1.65,1.58,1.75,1.52,79.363510206708,76.198555680942,37.99936341880342
3,31990.1957679262,4.30644105826545,26.06,74.0,-812.0,6.61,6.42,10.42,30446.0,11.667,814.962,5.10389669961698,2.48,19.1768919673096,-3.1995061275353,-0.6,15.6,1.64,1.52,1.77,1.57,79.567065212441,78.957718252045,34.7937069699193
4,34229.9667631197,5.69928311500732,26.31,75.4,-61.0,6.45,6.15,8.93,-29687.0,12.47,788.1211,4.85266448553575,2.55,18.6934322242076,-0.370658815565851,1.3,15.8,1.62,1.5,1.74,1.55,80.744230566202,76.428016865224,39.85700910676467
5,34819.4136602121,0.285850077448487,26.58,75.8,-366.0,6.35,6.09,8.12,13203.0,13.549,800.0321,6.03714495889844,1.82,18.8977924424542,0.0929873802841043,2.4,16.1,1.67,1.53,1.82,1.53,80.867727542047,76.817401574795,40.920931107795596
6,35554.0763814718,0.112643840643003,25.91,76.3,733.0,6.08,6.01,7.82,16374.0,13.757,817.8158,5.77292765268826,1.76,19.2479981027315,0.204270249155995,3.0,16.1,1.64,1.51,1.8,1.54,80.918823564482,79.063707711371,52.69856695598264
7,36861.9146111814,1.74446394150078,26.01,76.7,801.0,5.94,5.88,7.61,-40820.0,14.381,778.7527,6.5374501284684,0.44,19.2101287363869,0.684115142521196,5.3,16.7,1.85,1.66,1.81,1.7,80.997172071966,76.843778109653,39.29514256606569
8,37774.2443005745,0.776507671684243,25.92,77.0,-770.0,5.95,5.72,7.33,4675.0,14.901,784.9143,7.41752953186525,1.82,19.3122356715765,0.679370635036378,12.0,16.7,1.76,1.66,1.78,1.71,80.627201805662,77.020556256969,27.98181730934019
9,38811.9205666821,1.47229261688244,26.22,77.6,1096.0,5.9,5.6,7.08,3007.0,14.885,789.2489,7.26304789259444,1.64,19.5190716214398,0.736708060736333,4.2,16.5,1.58,1.66,1.78,1.81,81.991793779149,82.167296847601,8.995472629022466
10,40300.3970552912,2.33286596055396,26.12,78.3,-695.0,5.8,5.5,6.77,-17289.0,15.472,774.4767,7.08532591238356,2.89,19.4595495195295,0.636664655325102,3.3,16.1,1.57,1.61,1.8,1.78,82.202748316799,82.157760355685,22.191243842245342
11,41385.8951357578,0.813017363439201,25.94,79.0,-1168.0,5.6,5.5,6.22,-28666.0,16.66,746.6974,5.98712377554916,4.0,19.5022339579089,1.11187859393261,2.7,16.0,1.59,1.52,1.9,1.76,82.214093176168,82.140948763464,25.953483548426004
12,42541.2684169328,0.76040219541116,25.63,79.7,15.0,5.5,5.3,5.86,-50838.0,17.266,696.5002,5.63886185669669,1.91,19.9030235821301,0.767069886389354,1.8,14.8,1.58,1.5,1.87,1.71,82.338519767684,82.105637459541,28.348167324587795
13,41481.2875156154,-4.17345323463887,25.38,78.3,-4372.0,6.166923076923077,5.980769230769231,7.86,-58901.0,19.09,642.0878,5.34511047593648,4.49,21.7313211310231,-3.65712745171932,-0.1,16.1,1.52,1.31,1.83,1.58,82.418072768721,82.330086821941,27.96352554112554
14,44190.3042592945,3.62612870918142,25.31,79.6,-2438.0,6.166923076923077,5.980769230769231,6.66,-17183.714285714286,19.302,670.667,5.15854925662186,2.93,21.6742192217514,-3.52298134618628,1.0,16.0,1.57,1.29,1.78,1.63,80.82094786911443,78.98779138302835,32.395719783653846
15,47183.1154412603,0.641609114499019,25.69,80.8,-546.0,6.166923076923077,5.980769230769231,6.04,-17183.714285714286,20.829,658.0886,2.49690807693767,2.09,21.5213273138839,-2.69223668070362,-1.4,14.8,1.53,1.29,1.82,1.52,80.82094786911443,78.98779138302835,35.09775205250597
